iter	Passed	Remaining
957	45840	2009
958	45915	1963
959	46041	1918
960	46123	1871
961	46227	1826
962	46330	1780
963	46389	1732
964	46455	1684
965	46504	1636
966	46566	1589
967	46614	1540
968	46668	1493
969	46722	1445
970	46772	1396
971	46831	1349
972	46888	1301
973	46960	1253
974	47070	1206
975	47129	1158
976	47187	1110
977	47241	1062
978	47288	1014
979	47335	966
980	47383	917
981	47436	869
982	47483	821
983	47534	772
984	47583	724
985	47636	676
986	47698	628
987	47752	579
988	47808	531
989	47869	483
990	47926	435
991	48022	387
992	48091	339
993	48157	290
994	48212	242
995	48278	193
996	48327	145
997	48373	96
998	48418	48
999	48460	0
